total,inter,intra,torsions,intra best pose
-8.525,-15.004,-0.624,7.103,-0.624
-8.273,-14.382,-0.802,6.911,-0.624
-8.253,-13.312,-1.837,6.895999999999999,-0.624
-8.194,-14.625,-0.42,6.850999999999999,-0.624
-8.133,-14.019,-0.919,6.8050000000000015,-0.624
